epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.58886,1.23546,3.37604,1.58392,0.46688,0.58413,0.38163,0.25531,0.85453,5.09315,1.28941,0.00011432,0.00011432,0.00011432
2,9.85864,0.96882,2.13744,1.38851,0.67543,0.45139,0.52803,0.34927,1.11263,4.08075,1.51966,0.000238922,0.000238922,0.000238922
3,13.2691,0.97048,1.58242,1.32711,0.54414,0.65364,0.6129,0.42167,1.18577,2.35664,1.76342,0.000359279,0.000359279,0.000359279
4,17.0616,0.87063,1.43171,1.23534,0.46301,0.67525,0.52831,0.31055,1.09052,2.43194,1.53694,0.000475393,0.000475393,0.000475393
5,20.2351,0.93255,1.29886,1.29242,0.44072,0.54132,0.47626,0.30565,1.18961,2.05391,1.77772,0.000587262,0.000587262,0.000587262
6,23.2311,0.98562,1.23361,1.29529,0.65356,0.55474,0.61738,0.36179,1.22039,1.89307,2.00376,0.000694887,0.000694887,0.000694887
7,26.4324,1.03129,1.27582,1.32198,0.53768,0.46678,0.46379,0.27658,1.46131,2.54648,2.19251,0.000798268,0.000798268,0.000798268
8,30.1025,1.01836,1.2957,1.33667,0.52139,0.30577,0.31355,0.16537,1.66964,5.19837,2.44287,0.000897405,0.000897405,0.000897405
9,33.0813,0.99059,1.19586,1.31559,0.46587,0.63603,0.53235,0.30656,1.71911,2.48416,2.26852,0.000992298,0.000992298,0.000992298
10,36.0392,1.06261,1.23237,1.38482,0.48098,0.41432,0.45365,0.26598,1.44982,2.47683,1.94178,0.00108295,0.00108295,0.00108295
11,39.2669,0.99036,1.22761,1.33033,0.39817,0.24183,0.23089,0.15407,1.63458,4.94924,2.11495,0.00116935,0.00116935,0.00116935
12,42.7741,0.96978,1.13954,1.30434,0.75771,0.45563,0.58306,0.38775,1.22143,2.82481,1.7813,0.00116964,0.00116964,0.00116964
13,45.6664,0.98336,1.05429,1.32365,0.60407,0.58252,0.59278,0.32502,1.09696,3.14309,1.97174,0.00114606,0.00114606,0.00114606
14,48.7401,0.91227,1.01348,1.26577,0.61243,0.60589,0.61266,0.39182,1.06523,2.29576,1.82139,0.00112248,0.00112248,0.00112248
15,51.9023,0.93368,1.00761,1.2905,0.66404,0.62899,0.68472,0.44665,1.05109,2.65414,1.63261,0.0010989,0.0010989,0.0010989
16,55.5553,0.90337,0.97612,1.27152,0.61447,0.3652,0.35059,0.22457,1.34419,4.09912,1.79581,0.00107532,0.00107532,0.00107532
17,58.5313,0.89943,0.98825,1.26737,0.45436,0.38725,0.32897,0.22066,1.16494,3.39845,1.70938,0.00105174,0.00105174,0.00105174
18,61.556,0.92044,0.96627,1.27706,0.64841,0.57268,0.63715,0.43818,1.14199,1.76419,1.69658,0.00102817,0.00102817,0.00102817
19,64.7045,0.91441,0.9867,1.26587,0.63115,0.61724,0.63346,0.42068,1.18008,1.76913,1.7259,0.00100459,0.00100459,0.00100459
20,68.2614,0.90416,0.91011,1.23269,0.78956,0.71092,0.7813,0.54512,1.0346,1.74048,1.53853,0.000981008,0.000981008,0.000981008
21,71.3586,0.95772,0.92391,1.28591,0.6502,0.68602,0.73077,0.501,1.02709,2.25933,1.5336,0.00095743,0.00095743,0.00095743
22,74.3639,0.90374,0.94492,1.27801,0.61842,0.61293,0.59208,0.45711,0.99028,2.1991,1.41429,0.000933851,0.000933851,0.000933851
23,77.5391,0.86263,0.9271,1.22672,0.70492,0.64355,0.69224,0.47811,0.97247,1.35052,1.39426,0.000910273,0.000910273,0.000910273
24,81.1206,0.86237,0.90835,1.23539,0.65922,0.50772,0.61422,0.45963,0.94269,1.51755,1.42573,0.000886694,0.000886694,0.000886694
25,84.119,0.86161,0.8841,1.23207,0.65008,0.72793,0.7267,0.50695,0.98535,1.21417,1.46846,0.000863116,0.000863116,0.000863116
